8,0,0.84,-0.1000,0.2656
8,1,0.64,-0.1604,0.2069
8,2,0.07,-0.1424,0.1112
8,3,0.76,-0.1112,0.1287
8,4,0.15,-0.1318,0.1335
8,5,0.57,-0.1115,0.1105
8,6,0.60,-0.0513,0.0540
8,7,0.24,-0.0401,0.0233
8,8,0.53,-0.0168,0.0110
8,9,0.00,0.0000,0.0000
None,0,0.84,-0.0996,0.2652
None,1,0.64,-0.1599,0.2066
None,2,0.07,-0.1418,0.1109
None,3,0.76,-0.1108,0.1282
None,4,0.15,-0.1320,0.1331
None,5,0.57,-0.1115,0.1101
None,6,0.61,-0.0512,0.0538
None,7,0.25,-0.0401,0.0231
None,8,0.58,-0.0169,0.0107
None,9,0.20,-0.0001,0.0006
4,0,0.84,-0.0996,0.2652
4,1,0.64,-0.1599,0.2066
4,2,0.07,-0.1418,0.1109
4,3,0.76,-0.1108,0.1282
4,4,0.15,-0.1320,0.1331
4,5,0.57,-0.1115,0.1101
4,6,0.61,-0.0512,0.0538
4,7,0.25,-0.0401,0.0231
4,8,0.58,-0.0169,0.0107
4,9,0.20,-0.0001,0.0006
None,0,0.79,-0.0698,0.2733
None,1,0.56,-0.0831,0.2253
None,2,0.00,-0.1222,0.1788
None,3,0.54,-0.1061,0.1828
None,4,0.56,-0.1671,0.1601
None,5,0.67,-0.1424,0.1100
None,6,0.65,-0.0644,0.0555
None,7,0.12,-0.0393,0.0220
None,8,0.52,-0.0172,0.0110
None,9,0.77,-0.0017,0.0012
3,0,0.79,-0.0698,0.2733
3,1,0.56,-0.0831,0.2253
3,2,0.00,-0.1222,0.1788
3,3,0.54,-0.1061,0.1828
3,4,0.56,-0.1671,0.1601
3,5,0.67,-0.1424,0.1100
3,6,0.65,-0.0644,0.0555
3,7,0.12,-0.0393,0.0220
3,8,0.52,-0.0172,0.0110
3,9,0.77,-0.0017,0.0012
None,0,0.65,-0.1002,0.2609
None,1,0.74,-0.1035,0.2124
None,2,0.00,-0.1468,0.1581
None,3,0.75,-0.1406,0.1609
None,4,0.60,-0.1781,0.1460
None,5,0.81,-0.1431,0.0896
None,6,0.64,-0.0662,0.0463
None,7,0.13,-0.0403,0.0171
None,8,0.55,-0.0163,0.0088
None,9,0.58,-0.0020,0.0015
1,0,0.65,-0.1002,0.2609
1,1,0.74,-0.1035,0.2124
1,2,0.00,-0.1468,0.1581
1,3,0.75,-0.1406,0.1609
1,4,0.60,-0.1781,0.1460
1,5,0.81,-0.1431,0.0896
1,6,0.64,-0.0662,0.0463
1,7,0.13,-0.0403,0.0171
1,8,0.55,-0.0163,0.0088
1,9,0.58,-0.0020,0.0015
None,0,0.52,-0.1837,0.3231
None,1,0.72,-0.2061,0.2783
None,2,0.07,-0.1736,0.1940
None,3,0.69,-0.1537,0.1894
None,4,0.69,-0.2053,0.1640
None,5,0.99,-0.1571,0.0802
None,6,0.76,-0.0733,0.0424
None,7,0.05,-0.0384,0.0195
None,8,0.40,-0.0161,0.0115
None,9,0.59,-0.0029,0.0027
0,0,0.52,-0.1837,0.3231
0,1,0.72,-0.2061,0.2783
0,2,0.07,-0.1736,0.1940
0,3,0.69,-0.1537,0.1894
0,4,0.69,-0.2053,0.1640
0,5,0.99,-0.1571,0.0802
0,6,0.76,-0.0733,0.0424
0,7,0.05,-0.0384,0.0195
0,8,0.40,-0.0161,0.0115
0,9,0.59,-0.0029,0.0027
None,0,0.96,-0.2483,0.5093
None,1,0.69,-0.2739,0.4121
None,2,0.16,-0.2071,0.2308
None,3,0.91,-0.1545,0.2162
None,4,0.58,-0.1809,0.1937
None,5,0.80,-0.1497,0.1492
None,6,0.67,-0.0670,0.0683
None,7,0.07,-0.0386,0.0245
None,8,0.33,-0.0154,0.0130
None,9,0.40,-0.0024,0.0024
2,0,0.96,-0.2483,0.5093
2,1,0.69,-0.2739,0.4121
2,2,0.16,-0.2071,0.2308
2,3,0.91,-0.1545,0.2162
2,4,0.58,-0.1809,0.1937
2,5,0.80,-0.1497,0.1492
2,6,0.67,-0.0670,0.0683
2,7,0.07,-0.0386,0.0245
2,8,0.33,-0.0154,0.0130
2,9,0.40,-0.0024,0.0024
None,0,0.90,-0.3060,0.5327
None,1,0.61,-0.3324,0.4319
None,2,0.41,-0.2679,0.2515
None,3,1.00,-0.1940,0.1957
None,4,0.69,-0.2266,0.1747
None,5,0.86,-0.1745,0.1384
None,6,0.69,-0.0792,0.0637
None,7,0.00,-0.0398,0.0225
None,8,0.32,-0.0168,0.0124
None,9,0.40,-0.0033,0.0026
9,0,0.90,-0.3060,0.5327
9,1,0.61,-0.3324,0.4319
9,2,0.41,-0.2679,0.2515
9,3,1.00,-0.1940,0.1957
9,4,0.69,-0.2266,0.1747
9,5,0.86,-0.1745,0.1384
9,6,0.69,-0.0792,0.0637
9,7,0.00,-0.0398,0.0225
9,8,0.32,-0.0168,0.0124
9,9,0.40,-0.0033,0.0026
None,0,0.90,-0.3060,0.5327
None,1,0.61,-0.3323,0.4319
None,2,0.41,-0.2679,0.2515
None,3,1.00,-0.1938,0.1957
None,4,0.69,-0.2264,0.1747
None,5,0.86,-0.1744,0.1384
None,6,0.69,-0.0790,0.0637
None,7,0.00,-0.0397,0.0225
None,8,0.32,-0.0168,0.0124
None,9,0.53,-0.0031,0.0026
7,0,0.90,-0.3060,0.5327
7,1,0.61,-0.3323,0.4319
7,2,0.41,-0.2679,0.2515
7,3,1.00,-0.1938,0.1957
7,4,0.69,-0.2264,0.1747
7,5,0.86,-0.1744,0.1384
7,6,0.69,-0.0790,0.0637
7,7,0.00,-0.0397,0.0225
7,8,0.32,-0.0168,0.0124
7,9,0.53,-0.0031,0.0026
None,0,0.90,-0.3052,0.5325
None,1,0.61,-0.3321,0.4315
None,2,0.41,-0.2673,0.2516
None,3,1.00,-0.1902,0.1950
None,4,0.68,-0.2233,0.1741
None,5,0.86,-0.1715,0.1378
None,6,0.69,-0.0767,0.0635
None,7,0.00,-0.0368,0.0226
None,8,0.33,-0.0169,0.0122
None,9,0.49,-0.0025,0.0027
6,0,0.90,-0.3052,0.5325
6,1,0.61,-0.3321,0.4315
6,2,0.41,-0.2673,0.2516
6,3,1.00,-0.1902,0.1950
6,4,0.68,-0.2233,0.1741
6,5,0.86,-0.1715,0.1378
6,6,0.69,-0.0767,0.0635
6,7,0.00,-0.0368,0.0226
6,8,0.33,-0.0169,0.0122
6,9,0.49,-0.0025,0.0027
None,0,0.90,-0.3040,0.5321
None,1,0.61,-0.3306,0.4308
None,2,0.41,-0.2658,0.2511
None,3,1.00,-0.1901,0.1938
None,4,0.68,-0.2227,0.1760
None,5,0.86,-0.1712,0.1399
None,6,0.71,-0.0764,0.0649
None,7,0.00,-0.0366,0.0236
None,8,0.34,-0.0166,0.0122
None,9,0.51,-0.0024,0.0026
5,0,0.90,-0.3040,0.5321
5,1,0.61,-0.3306,0.4308
5,2,0.41,-0.2658,0.2511
5,3,1.00,-0.1901,0.1938
5,4,0.68,-0.2227,0.1760
5,5,0.86,-0.1712,0.1399
5,6,0.71,-0.0764,0.0649
5,7,0.00,-0.0366,0.0236
5,8,0.34,-0.0166,0.0122
5,9,0.51,-0.0024,0.0026
None,0,0.90,-0.3146,0.5355
None,1,0.61,-0.3402,0.4356
None,2,0.40,-0.2752,0.2562
None,3,1.00,-0.1927,0.2001
None,4,0.69,-0.2277,0.1762
None,5,0.87,-0.1739,0.1386
None,6,0.70,-0.0778,0.0642
None,7,0.00,-0.0370,0.0226
None,8,0.31,-0.0170,0.0124
None,9,0.51,-0.0026,0.0026
2,0,0.90,-0.3146,0.5355
2,1,0.61,-0.3402,0.4356
2,2,0.40,-0.2752,0.2562
2,3,1.00,-0.1927,0.2001
2,4,0.69,-0.2277,0.1762
2,5,0.87,-0.1739,0.1386
2,6,0.70,-0.0778,0.0642
2,7,0.00,-0.0370,0.0226
2,8,0.31,-0.0170,0.0124
